,Class,Aspect,Period,Points
0,Control,Helpful,Period 1,5
1,Control,Helpful,Period 1,4
2,Control,Helpful,Period 1,4
3,Control,Helpful,Period 1,5
4,Control,Helpful,Period 1,5
5,Control,Helpful,Period 1,6
6,Control,Helpful,Period 1,6
7,Control,Helpful,Period 1,6
8,Control,Helpful,Period 1,6
9,Control,Helpful,Period 1,4
10,Control,Helpful,Period 1,4
11,Control,Helpful,Period 1,4
12,Control,Helpful,Period 1,4
13,Control,Helpful,Period 1,5
14,Control,Helpful,Period 1,5
15,Control,Helpful,Period 2,4
16,Control,Helpful,Period 2,3
17,Control,Helpful,Period 2,3
18,Control,Helpful,Period 2,3
19,Control,Helpful,Period 2,3
20,Control,Helpful,Period 2,4
21,Control,Helpful,Period 2,4
22,Control,Helpful,Period 2,4
23,Control,Helpful,Period 2,5
24,Control,Helpful,Period 2,3
25,Control,Helpful,Period 2,4
26,Control,Helpful,Period 2,4
27,Control,Helpful,Period 2,5
28,Control,Helpful,Period 2,6
29,Control,Helpful,Period 2,3
30,Control,Helpful,Period 3,4
31,Control,Helpful,Period 3,4
32,Control,Helpful,Period 3,4
33,Control,Helpful,Period 3,3
34,Control,Helpful,Period 3,2
35,Control,Helpful,Period 3,5
36,Control,Helpful,Period 3,6
37,Control,Helpful,Period 3,4
38,Control,Helpful,Period 3,4
39,Control,Helpful,Period 3,4
40,Control,Helpful,Period 3,4
41,Control,Helpful,Period 3,4
42,Control,Helpful,Period 3,5
43,Control,Helpful,Period 3,4
44,Control,Helpful,Period 3,4
45,Control,Helpful,Period 4,3
46,Control,Helpful,Period 4,3
47,Control,Helpful,Period 4,3
48,Control,Helpful,Period 4,2
49,Control,Helpful,Period 4,2
50,Control,Helpful,Period 4,4
51,Control,Helpful,Period 4,3
52,Control,Helpful,Period 4,3
53,Control,Helpful,Period 4,3
54,Control,Helpful,Period 4,3
55,Control,Helpful,Period 4,3
56,Control,Helpful,Period 4,6
57,Control,Helpful,Period 4,4
58,Control,Helpful,Period 4,3
59,Control,Helpful,Period 4,3
60,Control,Collaborative,Period 1,4
61,Control,Collaborative,Period 1,4
62,Control,Collaborative,Period 1,5
63,Control,Collaborative,Period 1,4
64,Control,Collaborative,Period 1,4
65,Control,Collaborative,Period 1,5
