Class,Dimensions,Points
Control,Mental Demand,2
Control,Mental Demand,3
Control,Mental Demand,2
Control,Mental Demand,3
Control,Mental Demand,3
Control,Mental Demand,4
Control,Mental Demand,3
Control,Mental Demand,5
Control,Mental Demand,2
Control,Mental Demand,2
Control,Mental Demand,4
Control,Mental Demand,2
Control,Mental Demand,5
Control,Mental Demand,5
Control,Mental Demand,4
Test,Mental Demand,7
Test,Mental Demand,5
Test,Mental Demand,6
Test,Mental Demand,7
Test,Mental Demand,6
Test,Mental Demand,4
Test,Mental Demand,5
Test,Mental Demand,6
Test,Mental Demand,6
Test,Mental Demand,6
Test,Mental Demand,6
Test,Mental Demand,5
Test,Mental Demand,7
Test,Mental Demand,4
Test,Mental Demand,6
Control,Physical Demand,3
Control,Physical Demand,4
Control,Physical Demand,4
Control,Physical Demand,3
Control,Physical Demand,2
Control,Physical Demand,1
Control,Physical Demand,2
Control,Physical Demand,1
Control,Physical Demand,3
Control,Physical Demand,4
Control,Physical Demand,3
Control,Physical Demand,3
Control,Physical Demand,3
Control,Physical Demand,2
Control,Physical Demand,2
Test,Physical Demand,3
Test,Physical Demand,4
Test,Physical Demand,3
Test,Physical Demand,5
Test,Physical Demand,5
Test,Physical Demand,5
Test,Physical Demand,4
Test,Physical Demand,4
Test,Physical Demand,2
Test,Physical Demand,4
Test,Physical Demand,4
Test,Physical Demand,4
Test,Physical Demand,3
Test,Physical Demand,5
Test,Physical Demand,5
Control,Temporal Demand,5
Control,Temporal Demand,6
Control,Temporal Demand,5
Control,Temporal Demand,5
Control,Temporal Demand,6
Control,Temporal Demand,6
Control,Temporal Demand,6
Control,Temporal Demand,6
Control,Temporal Demand,6
Control,Temporal Demand,5
Control,Temporal Demand,4
Control,Temporal Demand,5
Control,Temporal Demand,5
Control,Temporal Demand,4
Control,Temporal Demand,4
Test,Temporal Demand,3
Test,Temporal Demand,3
Test,Temporal Demand,3
Test,Temporal Demand,4
Test,Temporal Demand,4
Test,Temporal Demand,4
Test,Temporal Demand,4
Test,Temporal Demand,4
Test,Temporal Demand,4
Test,Temporal Demand,3
Test,Temporal Demand,4
Test,Temporal Demand,2
Test,Temporal Demand,5
Test,Temporal Demand,4
Test,Temporal Demand,5
Control,Performance,4
Control,Performance,5
Control,Performance,4
Control,Performance,5
Control,Performance,5
Control,Performance,5
Control,Performance,6
Control,Performance,4
Control,Performance,4
Control,Performance,4
Control,Performance,6
Control,Performance,6
Control,Performance,6
Control,Performance,5
Control,Performance,5
Test,Performance,7
Test,Performance,7
Test,Performance,6
Test,Performance,5
Test,Performance,6
Test,Performance,4
Test,Performance,7
Test,Performance,7
Test,Performance,7
Test,Performance,6
Test,Performance,5
Test,Performance,5
Test,Performance,7
Test,Performance,7
Test,Performance,6
Control,Effort,4
Control,Effort,3
Control,Effort,3
Control,Effort,4
Control,Effort,3
Control,Effort,2
Control,Effort,4
Control,Effort,3
Control,Effort,3
Control,Effort,4
Control,Effort,3
Control,Effort,3
Control,Effort,4
Control,Effort,3
Control,Effort,4
Test,Effort,3
Test,Effort,3
Test,Effort,2
Test,Effort,3
Test,Effort,2
Test,Effort,3
Test,Effort,2
Test,Effort,2
Test,Effort,4
Test,Effort,1
Test,Effort,1
Test,Effort,2
Test,Effort,1
Test,Effort,1
Test,Effort,2
Control,Frustration,2
Control,Frustration,3
Control,Frustration,4
Control,Frustration,3
Control,Frustration,3
Control,Frustration,4
Control,Frustration,2
Control,Frustration,2
Control,Frustration,2
Control,Frustration,2
Control,Frustration,1
Control,Frustration,3
Control,Frustration,3
Control,Frustration,3
Control,Frustration,3
Test,Frustration,1
Test,Frustration,1
Test,Frustration,1
Test,Frustration,2
Test,Frustration,3
Test,Frustration,2
Test,Frustration,2
Test,Frustration,2
Test,Frustration,1
Test,Frustration,3
Test,Frustration,2
Test,Frustration,2
Test,Frustration,1
Test,Frustration,3
Test,Frustration,1
