,Before,During,After,Before,During,After
"I-words (I, me, my)",8.62,10.88,7.46,1.32,2.39,1.76
Positive Tone,1.74,0.68,0.75,0.23,0.35,0.31
Negative Tone,3.21,2.04,1.49,1.98,0.87,0.34
Cognitive Processes,10.56,8.42,9.7,3.2,1.6,2.8
"I-words (I, me, my)",8.34,10.48,7.26,1.37,2.41,1.29
Positive Tone,2.23,3.81,3.23,0.46,0.78,0.88
Negative Tone,1.67,0.48,1.12,0.25,0.15,0.26
Cognitive Processes,9.23,8.72,12.9,2.71,1.22,2.88
"I-words (I, me, my)",9.62,12.4,9.98,1.57,3.42,1.55
Positive Tone,1.92,1.12,1.23,0.45,0.22,0.25
Negative Tone,3.85,4.52,2.38,1.42,1.12,0.67
Cognitive Processes,11.54,10.2,9.68,3.81,2.17,2.76
"I-words (I, me, my)",9.3,12.08,9.32,1.24,3.32,1.47
Positive Tone,2.33,3.67,3.69,0.76,0.71,0.81
Negative Tone,1.96,0.98,1.07,0.22,0.14,0.17
Cognitive Processes,9.3,10.59,10.32,3.11,2.28,2.49
