Filename,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
story1_no_sage_1.txt,1660,10.42,-34.96,-6.56,72.79,-0.23,0.76,0.76,0.34,-1.64,0.08,1.49,-0.92,-0.92,0.28,-0.87,0.27,0.27,1.4,-1.06
story2_no_sage_4.txt,105,,,,
story3_no_sage_6.txt,925,51.3,54.25,47.7,51.96,0.85,0.85,0.46,-1.08,-1.08,-0.84,-0.99,0.03,0.32,1.48,-0.5,-0.5,0.34,1.59,-0.92
story4_no_sage_9.txt,1656,-26.36,-36.93,-35.88,-6.26,-1,0.39,0.78,-1.14,0.97,0.68,0.18,-1.76,0.54,0.36,0.47,1.21,-1.36,0.3,-0.62
story5_no_sage_11.txt,1639,1.26,-12.88,-41.53,58.19,0.07,0.73,1.13,-0.59,-1.35,0.87,-0.3,0.58,-1.61,0.46,-1.06,0.2,1.58,-0.56,-0.17
story6_no_sage_13.txt,1137,66.78,61.64,45.16,93.53,0.78,-0.72,-1.2,-0.06,1.2,-0.54,-0.18,1.29,0.68,-1.24,-1.55,-0.3,0.96,0.76,0.13
story7_no_sage_16.txt,687,-22.92,-75.01,-5.19,11.42,-1.29,0.51,0.62,0.99,-0.83,-0.03,-1.72,0.44,0.65,0.65,0.14,0.91,0.94,-1.38,-0.61
story8_no_sage_18.txt,918,37.72,36.21,52.25,24.7,0.62,-1.46,-0.57,1,0.4,-1.15,1.59,0.02,-0.33,-0.13,-0.91,-0.23,1.35,-0.9,0.69
story9_no_sage_19.txt,1022,-38.32,-67.79,-70.75,23.56,-1.53,1.05,-0.13,0.74,-0.13,1.28,0.14,-1.52,-0.09,0.19,-0.1,0.86,1.12,-1.3,-0.57
story10_no_sage_23.txt,1442,43.3,37.92,24.09,67.9,0.65,1.07,0.37,-0.78,-1.3,-0.73,-0.51,0.16,-0.6,1.68,-0.31,1.34,0.36,0.03,-1.41
story11_no_sage_25.txt,1010,-47.61,-81.99,-31.4,-29.44,-1.31,-0.53,0.53,1.31,0,0.59,1.36,-0.07,-0.83,-1.05,-0.3,-0.08,-1.36,0.34,1.4
